Ticker,Trend (MA),MA200 Status,Sinyal Teknikal,RSI (14),MACD Line,MACD Signal,Flow 1D,Flow 2D,Flow 3D,Flow 4D,Flow 1W,Flow 1M,Flow 3M,Flow 6M
MAPI,DOWNTREND,ABOVE MA200,TERKONFIRMASI,55.56,-17.85,-33.5,-23.78 M,+984.85 M,+1.92 B,+1.89 B,+2.96 B,+639.03 M,-921.09 M,+32.91 B
MNCN,DOWNTREND,BELOW MA200,TERKONFIRMASI,24.99,-3.45,-1.28,-1.16 B,-4.08 B,-4.08 B,-4.17 B,-3.92 B,-3.63 B,-3.33 B,-2.81 B
MPMX,UPTREND,ABOVE MA200,TERKONFIRMASI,48.61,5.4,7.79,-20.75 M,-30.76 M,-1.60 M,+5.65 M,-7.18 M,+5.06 M,+95.57 M,-1.57 B
PANR,UPTREND,BELOW MA200,TERKONFIRMASI,37.03,-2.91,-0.62,-170400,-5200,+137200,-340000,-1.58 M,-2.20 M,-1.83 M,-14.76 M
RALS,UPTREND,BELOW MA200,TERKONFIRMASI,51.0,1.5,1.89,0,0,0,-10.79 M,-11.87 M,+14.13 M,+31.98 M,-1.66 B
SCMA,DOWNTREND,BELOW MA200,TERKONFIRMASI,28.61,-4.34,-2.27,-281.07 M,-5.54 B,-5.52 B,-5.52 B,-5.62 B,-6.49 B,-5.22 B,-1.53 B
SMSM,UPTREND,BELOW MA200,TERKONFIRMASI,40.28,-3.79,0.22,-77.25 M,-39.58 M,-51.97 M,-90.18 M,-90.18 M,-32.27 M,-170.60 M,-512.47 M
SPTO,UPTREND,BELOW MA200,TERKONFIRMASI,47.44,-0.07,2.13,+2.49 M,-175000,-2.06 M,+309000,+309000,-13.87 M,+10.78 M,-350.76 M
TOTO,UPTREND,BELOW MA200,TERKONFIRMASI,60.06,1.51,1.22,0,+2.46 M,+1.37 M,+1.37 M,+1.37 M,+6.77 M,-37.22 M,-174.65 M
DVLA,UPTREND,BELOW MA200,TERKONFIRMASI,37.99,0.83,3.35,-193000,-193000,-471500,-471500,-471500,+666000,+1.14 M,+4.78 M
EPMT,UPTREND,ABOVE MA200,TERKONFIRMASI,69.31,70.87,48.6,-1.12 M,-200000,-200000,+1.10 M,+40.30 M,+149.75 M,+178.14 M,+163.11 M
HEAL,DOWNTREND,BELOW MA200,TERKONFIRMASI,35.48,-20.2,-23.83,-35.12 M,-649.34 M,-611.62 M,-611.62 M,-677.89 M,-1.66 B,-6.27 B,-11.07 B
KLBF,UPTREND,BELOW MA200,TERKONFIRMASI,44.4,-5.33,-2.89,-262.67 M,-1.11 B,-93.02 M,-763.34 M,+3.55 B,-819.20 M,+15.70 B,+17.11 B
MARK,UPTREND,ABOVE MA200,TERKONFIRMASI,53.58,28.85,21.89,-709.27 M,-1.65 B,-890.73 M,-581.56 M,+418.98 M,+1.21 B,+6.00 B,+15.28 B
MIKA,UPTREND,BELOW MA200,TERKONFIRMASI,39.24,-13.43,8.78,+15.76 M,-413.28 M,-511.84 M,-528.22 M,-609.22 M,+82.19 M,+302.27 M,-3.85 B
PRDA,UPTREND,ABOVE MA200,TERKONFIRMASI,67.63,91.29,93.35,+6.03 M,-34.82 M,+4.65 M,+9.51 M,+9.51 M,+116.88 M,-228.47 M,+937.27 M
SIDO,DOWNTREND,BELOW MA200,TERKONFIRMASI,52.42,-1.48,-2.29,+108.07 M,+146.85 M,+194.03 M,+122.97 M,+166.68 M,+124.69 M,-1.40 B,-10.44 B
SILO,DOWNTREND,BELOW MA200,TERKONFIRMASI,44.41,-59.04,-49.42,+404.54 M,-2.77 M,-18.21 M,-15.36 M,-15.36 M,-261.60 M,+119.35 M,-534.07 M
TSPC,UPTREND,ABOVE MA200,TERKONFIRMASI,50.47,9.0,9.37,-4.56 M,-13.21 M,+1.60 M,+10.46 M,+10.46 M,+31.16 M,+190.15 M,+112.16 M
ADMF,UPTREND,ABOVE MA200,TERKONFIRMASI,62.24,40.89,48.78,+5.62 M,+5.88 M,+4.34 M,+4.34 M,+6.39 M,-225000,+145.89 M,+456.31 M
AMAG,DOWNTREND,BELOW MA200,TERKONFIRMASI,36.64,-0.62,-0.33,0,-375400,-375400,-375400,-375400,+36800,+14.45 M,-22.43 M
ASDM,UPTREND,BELOW MA200,GOLDEN CROSS 🚀,54.22,1.25,1.05,+23000,+23000,-3000,-3000,-3000,+804500,-4.48 M,-74.61 M
BBCA,UPTREND,BELOW MA200,TERKONFIRMASI,40.72,-21.27,22.84,-5.24 B,-14.08 B,-12.54 B,-17.95 B,-27.51 B,-23.42 B,-39.65 B,-114.35 B
BBKP,DOWNTREND,BELOW MA200,DEATH CROSS 🩸,30.95,-1.07,-0.62,0,-146.91 M,-87.62 M,-186.12 M,-213.78 M,-725.38 M,-769.75 M,-1.18 B
BBNI,UPTREND,BELOW MA200,TERKONFIRMASI,40.97,9.04,43.44,-733.84 M,-4.81 B,-4.57 B,-4.98 B,-9.69 B,+10.85 B,+42.82 B,+42.90 B
BBRI,UPTREND,BELOW MA200,TERKONFIRMASI,53.5,53.47,70.8,-1.03 B,-5.88 B,-5.88 B,-4.70 B,-17.34 B,+70.25 B,+184.53 B,+49.47 B
BBTN,UPTREND,BELOW MA200,TERKONFIRMASI,37.49,-13.74,-5.78,-96.31 M,-96.31 M,-96.31 M,-345.65 M,-584.30 M,-852.67 M,+3.36 B,+15.66 B
BDMN,UPTREND,ABOVE MA200,TERKONFIRMASI,56.15,49.69,56.37,+60.34 M,-46.06 M,-14.18 M,-19.61 M,-84.98 M,+1.79 B,+4.17 B,+118.77 B
BFIN,UPTREND,ABOVE MA200,TERKONFIRMASI,50.67,23.72,31.12,-135.45 M,-1.10 B,-1.06 B,-1.06 B,-1.23 B,+5.91 B,+16.45 B,+43.03 B
BMRI,UPTREND,BELOW MA200,TERKONFIRMASI,43.71,17.01,37.85,-4.48 B,-21.24 B,-11.29 B,-22.56 B,-35.39 B,+14.02 B,-19.45 B,-160.29 B
BRIS,DOWNTREND,BELOW MA200,TERKONFIRMASI,21.09,-43.48,-24.11,-790.58 M,-1.92 B,-2.55 B,-3.85 B,-4.09 B,-5.09 B,+3.31 B,+14.41 B
DNAR,UPTREND,BELOW MA200,TERKONFIRMASI,48.18,1.4,2.32,-1.09 M,-1.09 M,-1.09 M,-1.09 M,+26000,+16.35 M,+209.55 M,+286.59 M
NISP,UPTREND,BELOW MA200,TERKONFIRMASI,49.83,4.58,3.95,-50.62 M,-3.63 M,-3.63 M,-55.26 M,-68.54 M,+163.07 M,+418.26 M,-4.35 B
PANS,UPTREND,ABOVE MA200,TERKONFIRMASI,64.77,21.79,19.81,-809000,-809000,-38500,+1.17 M,+1.17 M,+20.20 M,-681.01 M,-501.13 M
BBYB,UPTREND,BELOW MA200,TERKONFIRMASI,33.02,-4.79,-0.35,-181.00 M,-3.71 B,-3.66 B,-3.74 B,-3.84 B,-637.50 M,+4.49 B,+5.48 B
SRTG,UPTREND,ABOVE MA200,TERKONFIRMASI,48.43,-1.22,6.83,-107.54 M,+142.70 M,+142.70 M,+94.62 M,+74.68 M,-1.18 B,+2.59 B,+1.69 B
BKSL,UPTREND,BELOW MA200,TERKONFIRMASI,37.92,-1.23,-0.4,-79.25 M,+71.63 M,+71.63 M,+926900,+926900,-544.39 M,+12.32 B,+8.69 B
